iter	Passed	Remaining
399	85825	128738
400	86049	128538
401	86222	128261
402	86392	127981
403	86561	127699
404	86745	127440
405	86922	127173
406	87115	126927
407	87312	126688
408	87471	126394
409	87657	126140
410	87838	125879
411	88048	125660
412	88230	125402
413	88441	125184
414	88617	124919
415	88801	124664
416	89000	124430
417	89182	124173
418	89385	123944
419	89551	123666
420	89725	123399
421	89915	123155
422	90131	122944
423	90407	122817
424	90622	122606
425	91058	122693
426	91428	122689
427	91776	122654
428	92092	122575
429	92333	122395
430	92558	122194
431	92786	121997
432	93026	121815
433	93285	121657
434	93563	121525
435	93915	121486
436	94289	121475
437	94590	121369
438	95064	121483
439	95672	121764
440	96278	122039
441	96855	122274
442	97463	122544
443	97902	122598
444	98254	122541
445	98619	122500
446	99041	122528
447	99387	122459
448	99645	122281
449	99838	122024
450	100033	121770
451	100217	121502
452	100427	121266
453	101133	121627
454	101475	121546
455	101874	121534
456	102240	121480
457	102596	121413
458	102885	121265
459	103257	121214
460	103680	121222
461	104239	121386
462	104739	121479
463	105210	121536
464	105601	121498
465	105913	121368
466	106247	121263
467	106670	121258
468	107080	121235
469	107480	121201
470	107868	121152
471	108164	120997
472	108813	121236
473	109245	121230
474	109683	121228
475	109959	121047
476	110177	120802
477	110382	120543
478	110754	120465
479	111587	120886
480	111952	120796
481	112181	120560
482	112614	120542
483	112977	120447
484	113293	120301
485	113608	120153
486	113861	119940
487	114063	119673
488	114294	119436
489	114537	119212
490	114861	119072
491	115053	118794
492	115281	118554
493	115464	118269
494	115643	117979
495	115902	117771
496	116208	117611
497	116494	117430
498	116762	117230
499	116961	116961
500	117144	116677
501	117346	116411
502	117533	116131
503	117745	115876
504	118116	115777
505	118376	115569
506	118643	115366
507	118847	115103
508	119255	115038
509	119604	114913
510	120116	114944
511	120551	114901
512	120839	114714
513	121393	114780
514	123153	115979
515	123618	115952
516	124088	115928
517	124977	116292
518	125450	116265
519	126012	116319
520	126490	116293
521	126845	116153
522	127217	116027
523	127446	115772
524	127810	115638
525	128096	115433
526	128596	115420
527	128910	115238
528	129352	115170
529	129686	115005
530	130545	115303
531	130928	115177
532	131323	115061
533	131816	115030
534	132317	115005
535	132952	115093
536	133290	114923
537	133664	114782
538	134119	114710
539	134531	114600
540	134822	114386
541	135136	114193
542	135372	113932
543	135528	113604
544	135758	113339
545	136041	113119
546	136272	112854
547	136422	112523
548	136648	112255
549	137019	112106
550	137316	111896
551	137553	111637
552	137927	111488
553	138103	111180
554	138267	110863
555	138448	110559
556	138645	110269
557	138816	109958
558	139106	109742
559	139597	109683
560	139976	109535
561	140215	109278
562	140939	109396
563	141339	109262
564	141718	109110
565	142248	109073
566	142712	108985
567	143306	108993
568	143712	108857
569	144075	108688
570	144405	108494
571	144680	108257
572	145208	108209
573	145501	107985
574	146258	108104
575	146905	108138
576	147302	107988
577	147598	107762
578	148410	107911
579	148862	107796
580	149247	107632
581	149653	107483
582	150069	107339
583	150474	107187
584	150846	107010
585	151212	106829
586	151480	106578
587	151773	106344
588	152015	106075
589	152183	105754
590	152380	105454
591	152577	105154
592	152751	104839
593	152945	104538
594	153149	104244
595	153442	104011
596	153638	103712
597	153786	103381
598	153955	103065
599	154221	102814
600	154469	102551
601	154685	102267
602	154976	102032
603	155122	101702
604	155307	101399
605	155568	101145
606	155738	100832
607	155909	100520
608	156172	100268
609	156399	99992
610	156675	99749
