iter	MultiClass
0	1.099498618
1	0.9092434974
2	0.7692734952
3	0.6606100597
4	0.5735599646
5	0.5023088395
6	0.4428861512
7	0.3927841146
8	0.3498723192
9	0.3129726287
10	0.2813860769
11	0.2535852102
12	0.2294128845
13	0.2084581755
14	0.1897569009
15	0.1732268336
16	0.158677618
17	0.1456858579
18	0.1341771724
19	0.1238886373
20	0.1150255975
21	0.1068606378
22	0.09972943984
23	0.0930723869
24	0.08719042907
25	0.08189711949
26	0.0770853484
27	0.07293928367
28	0.06911022644
29	0.06593172653
30	0.06279109502
31	0.06000712523
32	0.05749907287
33	0.05517012479
34	0.05308886775
35	0.0512256439
36	0.04967355493
37	0.0483513019
38	0.04698639589
39	0.0457101019
40	0.04457472191
41	0.04358038616
42	0.04277938376
43	0.04191614129
44	0.04112453278
45	0.0404625217
46	0.04001270836
47	0.03939671627
48	0.03882165186
49	0.03828137238
50	0.03794267172
51	0.03765358048
52	0.03721286477
53	0.03700248091
54	0.03661954131
55	0.03631118484
56	0.03599806714
57	0.03567867415
58	0.03533503252
59	0.03520592001
60	0.03507921798
61	0.03490772679
62	0.03475818521
63	0.0344907491
64	0.03437050486
65	0.03425436607
66	0.03417177789
67	0.034086658
68	0.03399049702
69	0.03384215866
70	0.03375581728
71	0.03355817077
72	0.03345728925
73	0.03333822961
74	0.03330071816
75	0.0331663596
76	0.0330668001
77	0.03294922086
78	0.03289411289
79	0.03278468478
80	0.03261087717
81	0.03253164662
82	0.03239224165
83	0.03229815051
84	0.03221160878
85	0.03213820584
86	0.03209205856
87	0.03205817654
88	0.03200361169
89	0.03191726552
90	0.03183483032
91	0.03176017359
92	0.03171176644
93	0.03168746656
94	0.03159713326
95	0.03152946112
96	0.03147133221
97	0.03139499522
98	0.03133978872
99	0.03126131547
100	0.03120467916
101	0.03114394979
102	0.03110278709
103	0.0310560046
104	0.03097081192
105	0.03091212416
106	0.03082234889
107	0.03079087471
108	0.03073428493
109	0.03064783073
110	0.03060691015
111	0.0305524936
112	0.03052572482
113	0.0304887094
114	0.03038377617
115	0.03031567237
116	0.03024087175
117	0.03020948489
118	0.03017568792
119	0.03014521724
120	0.03012078512
121	0.03004161519
122	0.02998959996
123	0.02996840555
124	0.02991169773
125	0.02986207604
126	0.02980363823
127	0.02974933939
128	0.02972437006
129	0.02964810278
130	0.02958919577
131	0.02954519816
132	0.02952013021
133	0.02945229785
134	0.02942206751
135	0.02937983553
136	0.02928787196
137	0.0292301225
138	0.02917054782
139	0.02914010079
140	0.02911373529
141	0.02905706923
142	0.02899493039
143	0.0289499527
144	0.02892194975
145	0.02887817255
146	0.02884821662
147	0.02877496455
148	0.02874401186
149	0.02867467923
150	0.0286057063
151	0.02855502872
152	0.02853577343
153	0.02848859339
154	0.02846962237
155	0.0284610293
156	0.02841601616
157	0.02838611933
158	0.02835082499
159	0.02833205022
160	0.02826038798
161	0.02823122618
162	0.02820865227
163	0.02817301865
164	0.02812651308
165	0.02808433039
166	0.02806993969
167	0.02805369632
168	0.02799238974
169	0.02796371372
170	0.02794778769
171	0.02790461844
172	0.02786699724
173	0.02781653636
174	0.02780164824
175	0.02776816948
176	0.02774656709
177	0.02772302285
178	0.02769505817
179	0.02764873233
180	0.02763369467
181	0.02760259603
182	0.02757433137
183	0.02752571098
184	0.02746928872
185	0.02741568818
186	0.02740329771
187	0.02737515532
188	0.02734341207
189	0.02730727038
190	0.02726815581
191	0.02725475929
192	0.027230069
193	0.0271912346
194	0.02717752401
195	0.0271494964
196	0.02712516398
197	0.02710940638
198	0.02709486463
199	0.02704636621
200	0.02700908672
201	0.02696104881
202	0.02692740673
203	0.02691773845
204	0.0268720072
205	0.02685564133
206	0.02683073917
207	0.02680054628
208	0.02676235072
209	0.02673871222
210	0.02671510934
211	0.02667680138
212	0.02666170063
213	0.02662003242
214	0.02659466155
215	0.0265687864
216	0.0265501904
217	0.0265297057
218	0.02651159189
219	0.0264834723
220	0.02646739279
221	0.02645642069
222	0.02637263606
223	0.0263388405
224	0.02632345366
225	0.02629422606
226	0.02626312439
227	0.02623917427
228	0.02618153943
229	0.02616382527
230	0.02615271027
231	0.0261323146
232	0.02611011036
233	0.02607781209
234	0.02605445452
235	0.02603016983
236	0.02599904444
237	0.02596591903
238	0.02592480519
239	0.02591269844
240	0.02590342995
241	0.02588027849
242	0.02586031072
243	0.02584057801
244	0.02582413908
245	0.02581095618
246	0.02575511914
247	0.0257350193
248	0.0257144617
249	0.02565812835
250	0.02561147477
251	0.02557823532
252	0.02554958391
253	0.02553644322
254	0.02550852276
255	0.02549705315
256	0.02548899784
257	0.025472552
258	0.02542351738
259	0.02540881595
260	0.02538768989
261	0.02538135898
262	0.02535683436
263	0.02534379187
264	0.02532504332
265	0.02531103478
266	0.02528812283
267	0.02528327419
268	0.02526544743
269	0.02522912251
270	0.02521115776
271	0.02518658598
272	0.02515230793
273	0.02513535498
274	0.02512890989
275	0.02511559249
276	0.02508888727
277	0.02506108704
278	0.02504679144
279	0.0250259815
280	0.02500914186
281	0.02498821364
282	0.02497283358
283	0.02495405305
284	0.02492294405
285	0.02491170616
286	0.02487929098
287	0.02485662441
288	0.02483895761
289	0.0248099971
290	0.02475910334
291	0.02472751825
